time,frame,throttle,brake,steer,speed,imu_ax,imu_ay,imu_az
1765391336.7543247,23153,0.365,0.000,-0.000,8.078,85772.7031,131557.0000,-3.8807
1765391336.765341,23154,0.365,0.000,-0.000,8.079,85772.7031,131557.0000,-3.8807
1765391336.774384,23155,0.372,0.000,0.000,8.078,85772.7031,131557.0000,-3.8807
1765391336.7828906,23156,0.372,0.000,0.000,8.082,85772.7031,131557.0000,-3.8807
1765391336.7913995,23157,0.372,0.000,0.000,8.072,85772.7031,131557.0000,-3.8807
1765391336.8024395,23158,0.372,0.000,0.000,8.077,85772.7031,131557.0000,-3.8807
1765391336.812451,23159,0.368,0.000,0.000,8.079,85772.7031,131557.0000,-3.8807
1765391336.8430452,23160,0.368,0.000,0.000,8.081,85772.7031,131557.0000,-3.8807
1765391336.8440487,23161,0.368,0.000,0.000,8.085,85772.7031,131557.0000,-3.8807
1765391336.8510494,23162,0.368,0.000,0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.8611205,23163,0.367,0.000,0.000,8.088,85772.7031,131557.0000,-3.8807
1765391336.8681297,23164,0.367,0.000,0.000,8.078,85772.7031,131557.0000,-3.8807
1765391336.8781383,23165,0.367,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391336.8881786,23166,0.367,0.000,0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.917465,23167,0.353,0.000,0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.9185188,23168,0.353,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.9260263,23169,0.353,0.000,0.000,8.088,85772.7031,131557.0000,-3.8807
1765391336.935046,23170,0.353,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.941045,23171,0.360,0.000,0.000,8.088,85772.7031,131557.0000,-3.8807
1765391336.9510696,23172,0.360,0.000,0.000,8.077,85772.7031,131557.0000,-3.8807
1765391336.9610944,23173,0.360,0.000,0.000,8.083,85772.7031,131557.0000,-3.8807
1765391336.9936247,23174,0.360,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391336.994175,23175,0.354,0.000,0.000,8.088,85772.7031,131557.0000,-3.8807
1765391337.0021777,23176,0.354,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391337.011203,23177,0.354,0.000,0.000,8.089,85772.7031,131557.0000,-3.8807
1765391337.0197363,23178,0.354,0.000,0.000,8.072,85772.7031,131557.0000,-3.8807
1765391337.0273018,23179,0.353,0.000,0.000,8.077,85772.7031,131557.0000,-3.8807
1765391337.0379,23180,0.353,0.000,0.000,8.078,85772.7031,131557.0000,-3.8807
1765391337.048504,23181,0.353,0.000,0.000,8.079,85772.7031,131557.0000,-3.8807
1765391337.0775092,23182,0.353,0.000,0.000,8.080,85772.7031,131557.0000,-3.8807
1765391337.078499,23183,0.369,0.000,0.000,8.081,85772.7031,131557.0000,-3.8807
1765391337.0860057,23184,0.369,0.000,0.000,8.084,85772.7031,131557.0000,-3.8807
1765391337.09453,23185,0.369,0.000,0.000,8.080,85772.7031,131557.0000,-3.8807
1765391337.1030335,23186,0.369,0.000,0.000,8.085,85772.7031,131557.0000,-3.8807
1765391337.1125417,23187,0.364,0.000,0.000,8.071,85772.7031,131557.0000,-3.8807
1765391337.1234157,23188,0.364,0.000,0.000,8.078,85772.7031,131557.0000,-3.8807
1765391337.153051,23189,0.364,0.000,0.000,8.080,85772.7031,131557.0000,-3.8807
1765391337.1540558,23190,0.364,0.000,0.000,8.073,85772.7031,131557.0000,-3.8807
1765391337.1610553,23191,0.378,0.000,0.000,8.079,85772.7031,131557.0000,-3.8807
1765391337.1691308,23192,0.378,0.000,0.000,8.070,85772.7031,131557.0000,-3.8807
1765391337.176334,23193,0.378,0.000,0.000,8.074,85772.7031,131557.0000,-3.8807
1765391337.1863692,23194,0.378,0.000,0.000,8.063,85772.7031,131557.0000,-3.8807
1765391337.19742,23195,0.365,0.000,0.001,8.074,85772.7031,131557.0000,-3.8807
1765391337.20793,23196,0.365,0.000,0.001,8.075,85772.7031,131557.0000,-3.8807
1765391337.2370734,23197,0.365,0.000,0.001,8.078,85772.7031,131557.0000,-3.8807
1765391337.2380733,23198,0.365,0.000,0.001,8.084,85772.7031,131557.0000,-3.8807
1765391337.2460914,23199,0.374,0.000,0.001,8.083,85772.7031,131557.0000,-3.8807
1765391337.2543058,23200,0.374,0.000,0.001,8.087,85772.7031,131557.0000,-3.8807
1765391337.2613053,23201,0.374,0.000,0.001,8.084,85772.7031,131557.0000,-3.8807
1765391337.2713976,23202,0.374,0.000,0.001,8.087,85772.7031,131557.0000,-3.8807
1765391337.2825546,23203,0.360,0.000,0.000,8.089,85772.7031,131557.0000,-3.8807
1765391337.3131797,23204,0.360,0.000,0.000,8.091,85772.7031,131557.0000,-3.8807
1765391337.3141835,23205,0.360,0.000,0.000,8.096,85772.7031,131557.0000,-3.8807
1765391337.320692,23206,0.360,0.000,0.000,8.094,85772.7031,131557.0000,-3.8807
1765391337.3312624,23207,0.351,0.000,0.000,8.099,85772.7031,131557.0000,-3.8807
1765391337.3392503,23208,0.351,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391337.3473697,23209,0.351,0.000,0.000,8.094,85772.7031,131557.0000,-3.8807
1765391337.3579056,23210,0.351,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.3684664,23211,0.337,0.000,-0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.3975177,23212,0.337,0.000,-0.000,8.093,85772.7031,131557.0000,-3.8807
1765391337.398517,23213,0.337,0.000,-0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.406022,23214,0.337,0.000,-0.000,8.095,85772.7031,131557.0000,-3.8807
1765391337.4150505,23215,0.348,0.000,0.000,8.090,85772.7031,131557.0000,-3.8807
1765391337.4215705,23216,0.348,0.000,0.000,8.094,85772.7031,131557.0000,-3.8807
1765391337.4320781,23217,0.348,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.4421647,23218,0.348,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.4725428,23219,0.350,0.000,0.000,8.091,85772.7031,131557.0000,-3.8807
1765391337.4730535,23220,0.350,0.000,0.000,8.090,85772.7031,131557.0000,-3.8807
1765391337.481058,23221,0.350,0.000,0.000,8.092,85772.7031,131557.0000,-3.8807
1765391337.4901073,23222,0.350,0.000,0.000,8.086,85772.7031,131557.0000,-3.8807
1765391337.4971364,23223,0.348,0.000,0.000,8.090,85772.7031,131557.0000,-3.8807
1765391337.507162,23224,0.348,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
1765391337.517802,23225,0.348,0.000,0.000,8.087,85772.7031,131557.0000,-3.8807
